task,short_name,success_rate,return_mean,return_std
Pendulum,Pendulum,1.0,-156.32505738902512,70.0613810123053
Semicircle-Wide,SC-Wide,1.0,10.145138854534839,0.002389619070549934
Semicircle-Narrow,SC-Narrow,1.0,10.089030807565749,0.0013738770604558605
Unitree Go2 Sim,Go2 Sim,1.0,21.78083818100393,0.0015014831051250416
